code,id,price,stop_price,updated_at,asset_type,order_type,currency,quantity,pnl,pnl_net,exit_at,exit_price
XRP/USDT,78,0.375522,0.375522,2021-02-03 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,529931.8,-799.1371543999755,-998.1382033999755,,
XRP/USDT,79,0.39721,,2021-02-04 04:00:00+08:00,Crypto,OrderType.MARKET,USD,503008.9,0.0,-199.800165,,
XRP/USDT,80,0.395621,0.395621,2021-02-04 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,503008.9,-799.2811421000036,-998.2820261000037,,
XRP/USDT,81,0.3834,,2021-02-04 08:00:00+08:00,Crypto,OrderType.MARKET,USD,521127.2,0.0,-199.800168,,
XRP/USDT,85,0.44075,,2021-02-06 00:00:00+08:00,Crypto,OrderType.MARKET,USD,453318.6,0.0,-199.800173,,
XRP/USDT,86,0.44726,0.438987,2021-02-06 00:00:00+08:00,Crypto,OrderType.LIMIT,USD,453318.6,2951.104086000007,2748.3528090000073,,
XRP/USDT,87,0.45219,,2021-02-06 04:00:00+08:00,Crypto,OrderType.MARKET,USD,441850.1,0.0,-199.800197,,
XRP/USDT,88,0.450381,0.450381,2021-02-06 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,441850.1,-799.3068309000022,-998.3077209000022,,
XRP/USDT,89,0.43599,,2021-02-06 08:00:00+08:00,Crypto,OrderType.MARKET,USD,458267.8,0.0,-199.800178,,
XRP/USDT,90,0.45195,0.434246,2021-02-06 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,458267.8,7313.954088000013,7106.839956000013,,
XRP/USDT,91,0.43649,,2021-02-06 12:00:00+08:00,Crypto,OrderType.MARKET,USD,457742.9,0.0,-199.800198,,
XRP/USDT,92,0.43591,0.434744,2021-02-06 12:00:00+08:00,Crypto,OrderType.LIMIT,USD,457742.9,-265.490881999986,-465.025589999986,,
XRP/USDT,93,0.43625,,2021-02-06 16:00:00+08:00,Crypto,OrderType.MARKET,USD,457994.7,0.0,-199.800188,,
XRP/USDT,94,0.43655,0.434505,2021-02-06 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,457994.7,137.39840999998486,-62.539176000015146,,
XRP/USDT,95,0.44739,,2021-02-06 20:00:00+08:00,Crypto,OrderType.MARKET,USD,446590.6,0.0,-199.800169,,
XRP/USDT,96,0.4456,0.4456,2021-02-06 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,446590.6,-799.3971740000061,-998.3979450000061,,
XRP/USDT,97,0.44835,,2021-02-07 00:00:00+08:00,Crypto,OrderType.MARKET,USD,445634.4,0.0,-199.800183,,
XRP/USDT,98,0.44739,0.446557,2021-02-07 00:00:00+08:00,Crypto,OrderType.LIMIT,USD,445634.4,-427.80902400000735,-627.1813980000073,,
XRP/USDT,99,0.44307,,2021-02-07 04:00:00+08:00,Crypto,OrderType.MARKET,USD,450944.9,0.0,-199.800157,,
XRP/USDT,100,0.44838,0.441298,2021-02-07 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,450944.9,2394.5174189999916,2192.3227449999918,,
XRP/USDT,101,0.43891,,2021-02-07 08:00:00+08:00,Crypto,OrderType.MARKET,USD,455219.0,0.0,-199.800171,,
XRP/USDT,102,0.44307,0.437154,2021-02-07 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,455219.0,1893.7110399999985,1692.0171579999985,,
XRP/USDT,103,0.43414,,2021-02-07 12:00:00+08:00,Crypto,OrderType.MARKET,USD,460220.6,0.0,-199.800171,,
XRP/USDT,104,0.43891,0.432403,2021-02-07 12:00:00+08:00,Crypto,OrderType.LIMIT,USD,460220.6,2195.252261999998,1993.2568379999982,,
XRP/USDT,105,0.41214,,2021-02-07 20:00:00+08:00,Crypto,OrderType.MARKET,USD,484787.2,0.0,-199.800197,,
XRP/USDT,106,0.43912,0.410491,2021-02-07 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,484787.2,13079.558656000003,12866.678901000003,,
XRP/USDT,107,0.52781,,2021-02-10 16:00:00+08:00,Crypto,OrderType.MARKET,USD,378545.6,0.0,-199.800153,,
XRP/USDT,108,0.525699,0.525699,2021-02-10 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,378545.6,-799.1097615999901,-998.11080459999,,
XRP/USDT,109,0.48739,,2021-02-10 20:00:00+08:00,Crypto,OrderType.MARKET,USD,409939.0,0.0,-199.800169,,
XRP/USDT,110,0.52781,0.48544,2021-02-10 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,409939.0,16569.734380000005,16353.364476000006,,
XRP/USDT,111,0.49683,,2021-02-11 00:00:00+08:00,Crypto,OrderType.MARKET,USD,402150.0,0.0,-199.800184,,
XRP/USDT,112,0.494843,0.494843,2021-02-11 00:00:00+08:00,Crypto,OrderType.LIMIT,USD,402150.0,-799.0720500000067,-998.0731620000067,,
XRP/USDT,113,0.51195,,2021-02-11 16:00:00+08:00,Crypto,OrderType.MARKET,USD,390272.8,0.0,-199.80016,,
XRP/USDT,114,0.51576,0.509902,2021-02-11 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,390272.8,1486.939367999992,1285.652268999992,,
XRP/USDT,115,0.55881,,2021-02-12 08:00:00+08:00,Crypto,OrderType.MARKET,USD,357545.8,0.0,-199.800168,,
XRP/USDT,116,0.556575,0.556575,2021-02-12 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,357545.8,-799.1148629999954,-998.1159169999953,,
XRP/USDT,117,0.5807,,2021-02-12 16:00:00+08:00,Crypto,OrderType.MARKET,USD,344067.8,0.0,-199.800171,,
XRP/USDT,118,0.578377,0.578377,2021-02-12 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,344067.8,-799.2694993999876,-998.2704013999876,,
XRP/USDT,119,0.58707,,2021-02-12 20:00:00+08:00,Crypto,OrderType.MARKET,USD,340334.5,0.0,-199.800175,,
XRP/USDT,120,0.584722,0.584722,2021-02-12 20:00:00+08:00,Crypto,OrderType.LIMIT,USD,340334.5,-799.1054060000057,-998.1064760000057,,
XRP/USDT,121,0.57359,,2021-02-13 00:00:00+08:00,Crypto,OrderType.MARKET,USD,348332.7,0.0,-199.800153,,
XRP/USDT,122,0.58706,0.571296,2021-02-13 00:00:00+08:00,Crypto,OrderType.LIMIT,USD,348332.7,4692.041468999994,4487.5492739999945,,
XRP/USDT,123,0.609,,2021-02-13 04:00:00+08:00,Crypto,OrderType.MARKET,USD,328079.1,0.0,-199.800172,,
XRP/USDT,124,0.606564,0.606564,2021-02-13 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,328079.1,-799.2006875999979,-998.2016585999979,,
XRP/USDT,125,0.6271,,2021-02-13 08:00:00+08:00,Crypto,OrderType.MARKET,USD,318609.7,0.0,-199.800143,,
XRP/USDT,126,0.624592,0.624592,2021-02-13 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,318609.7,-799.0731275999856,-998.0741975999856,,
XRP/USDT,127,0.5995,,2021-02-13 12:00:00+08:00,Crypto,OrderType.MARKET,USD,333278.0,0.0,-199.800161,,
XRP/USDT,130,0.5614,,2021-02-16 12:00:00+08:00,Crypto,OrderType.MARKET,USD,355896.3,0.0,-199.800183,,
XRP/USDT,131,0.57558,0.559154,2021-02-16 12:00:00+08:00,Crypto,OrderType.LIMIT,USD,355896.3,5046.609533999989,4841.762741999989,,
XRP/USDT,132,0.52096,,2021-02-17 00:00:00+08:00,Crypto,OrderType.MARKET,USD,383523.1,0.0,-199.800194,,
XRP/USDT,133,0.53087,0.518876,2021-02-17 00:00:00+08:00,Crypto,OrderType.LIMIT,USD,383523.1,3800.71392099999,3597.11301299999,,
XRP/USDT,134,0.51995,,2021-02-17 04:00:00+08:00,Crypto,OrderType.MARKET,USD,384268.1,0.0,-199.800199,,
XRP/USDT,135,0.52096,0.51787,2021-02-17 04:00:00+08:00,Crypto,OrderType.LIMIT,USD,384268.1,388.1107809999828,187.9224719999828,,
XRP/USDT,136,0.51563,,2021-02-17 08:00:00+08:00,Crypto,OrderType.MARKET,USD,387487.5,0.0,-199.80018,,
XRP/USDT,137,0.5198,0.513567,2021-02-17 08:00:00+08:00,Crypto,OrderType.LIMIT,USD,387487.5,1615.8228750000028,1414.4068720000027,,
XRP/USDT,138,0.52869,,2021-02-17 12:00:00+08:00,Crypto,OrderType.MARKET,USD,377915.6,0.0,-199.800199,,
XRP/USDT,139,0.526575,0.526575,2021-02-17 12:00:00+08:00,Crypto,OrderType.LIMIT,USD,377915.6,-799.2914939999916,-998.2924009999916,,
XRP/USDT,140,0.53422,,2021-02-17 16:00:00+08:00,Crypto,OrderType.MARKET,USD,374003.5,0.0,-199.80015,,
XRP/USDT,141,0.532083,0.532083,2021-02-17 16:00:00+08:00,Crypto,OrderType.LIMIT,USD,374003.5,-799.2454795000208,-998.2463835000208,,
